[Thu Jun 08 08:45:51.533030 2023] [proxy:warn] [pid 47637:tid 140401462769408] [client 110.227.211.120:54344] AH01144: No protocol handler was valid for the URL / (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:45:53.772620 2023] [proxy:warn] [pid 47637:tid 140401445984000] [client 110.227.211.120:54346] AH01144: No protocol handler was valid for the URL / (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:45:57.007949 2023] [proxy:warn] [pid 47637:tid 140401429198592] [client 110.227.211.120:54347] AH01144: No protocol handler was valid for the URL / (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:45:58.808409 2023] [proxy:warn] [pid 47637:tid 140400937400064] [client 110.227.211.120:54350] AH01144: No protocol handler was valid for the URL / (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:46:03.711892 2023] [proxy:warn] [pid 47637:tid 140400920614656] [client 110.227.211.120:54362] AH01144: No protocol handler was valid for the URL / (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:46:05.464027 2023] [proxy:warn] [pid 47637:tid 140400903829248] [client 110.227.211.120:54363] AH01144: No protocol handler was valid for the URL / (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:47:41.393106 2023] [proxy:warn] [pid 47992:tid 140401698125568] [client 110.227.211.120:54419] AH01144: No protocol handler was valid for the URL / (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:47:43.143697 2023] [proxy:warn] [pid 47993:tid 140401698125568] [client 110.227.211.120:54420] AH01144: No protocol handler was valid for the URL / (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:47:50.331032 2023] [proxy:warn] [pid 47993:tid 140401474270976] [client 110.227.211.120:54426] AH01144: No protocol handler was valid for the URL / (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:48:18.775728 2023] [proxy:warn] [pid 47993:tid 140401457485568] [client 110.227.211.120:54476] AH01144: No protocol handler was valid for the URL / (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:50:42.416720 2023] [proxy:warn] [pid 47992:tid 140401608488704] [client 174.138.18.17:60328] AH01144: No protocol handler was valid for the URL / (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:50:42.609952 2023] [proxy:warn] [pid 47993:tid 140401440700160] [client 174.138.18.17:60385] AH01144: No protocol handler was valid for the URL / (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:50:42.797978 2023] [proxy:warn] [pid 47992:tid 140401574917888] [client 174.138.18.17:60434] AH01144: No protocol handler was valid for the URL /wp-includes/wlwmanifest.xml (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:50:42.984979 2023] [proxy:warn] [pid 47992:tid 140401591703296] [client 174.138.18.17:60499] AH01144: No protocol handler was valid for the URL /xmlrpc.php (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:50:43.183514 2023] [proxy:warn] [pid 47993:tid 140401423914752] [client 174.138.18.17:60554] AH01144: No protocol handler was valid for the URL / (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
[Thu Jun 08 08:50:43.375862 2023] [proxy:warn] [pid 47992:tid 140401558132480] [client 174.138.18.17:60597] AH01144: No protocol handler was valid for the URL /blog/wp-includes/wlwmanifest.xml (scheme 'http'). If you are using a DSO version of mod_proxy, make sure the proxy submodules are included in the configuration using LoadModule.
